ID	CLASSIFI	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	一、自然現象/太陽	日頭	日头	jɐt2 tʰɐu21	jɐt2 tʰɐu21	jat6 tau4	P17	太陽1	
2	一、自然現象/太陽	熱頭	热头	jit2 tʰɐu21	jit2 tʰɐu21	jit6 tau4	P17	太陽2	
3	一、自然現象/月亮	月光	月光	jyt2 kɔŋ55	jyt2 kɔŋ55	jyut6 gong1	P17	月亮	
4	一、自然現象/星星	天星	天星	tʰin55 ɬɛŋ55	tʰin55 ɬɛŋ55	tin1 sleng1	P17	星星	
5	一、自然現象/颳風	翻風	翻风	fan55 fuŋ55	fan55 fʊŋ55	faan1 fung1	P17	颳風	
6	一、自然現象/打雷	打雷	打雷	ta35 lui21	ta35 lui21	daa2 lui4	P17	打雷	
7	一、自然現象/閃電	閃電	闪电	sim35 tin22	ʃim35 tin22	sim2 din6	P17	閃電	
8	一、自然現象/下雨	落雨	落雨	lɔk2 jy24	lɔk2 jy24	lok6 jyu5	P17	下雨	
9	一、自然現象/結冰	結冰	结冰	kit3 peŋ55	kit3 peŋ55	git3 bing1	P17	結冰	
10	一、自然現象/冰雹	冰雹	冰雹	peŋ55 pʰau55	peŋ55 pʰau55	bing1 paau1	P17	冰雹	
11	一、自然現象/虹	虹	虹	kɔŋ33	kɔŋ33	gong3	P17	虹	
12	二、時令、時節/除夕	年三十晚	年三十晚	nin21 ɬam55 sɐp2 man24	nin21 ɬam55 ʃɐp2 man24	nin4 slaam1 sap6 maan5	P17	除夕	
13	二、時令、時節/端午節	五月初五	五月初五	ŋ̍24 jyt2 tsʰɔ55 ŋ̍24	ŋ̍24 jyt2 tʃʰɔ55 ŋ̍24	ng5 jyut6 co1 ng5	P17	端午節	
14	二、時令、時節/中秋節	八月十五	八月十五	pɛt3 jyt2 sɐp2 m̩24	pɛt3 jyt2 ʃɐp2 m̩24	bet3 jyut6 sap6 m5	P17	中秋節	
