ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	to53	to53	do1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	多少，多數	
2	拖	拖	tʰo53	tʰo53	to1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	拖車，拖鞋，拖拉機	
3	他	他	tʰa53	tʰa53	taa1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	其他	
4	駝	驼	to21	to21	do4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	駝背，駱駝	
5	馱	驮	to21	to21	do4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	馱東西（揹負或扛在肩上），拿在手裏	原文誤作[to22]
6	馱	驮	to22	to22	do6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	馱子	
7	舵	舵	to22	to22	do6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	船舵，舵手	
8	大	大	tai22	tai22	daai6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617，650	大小，大學；大夫，大黃，大蒜	
9	挪	挪	no21	no21	no4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	挪用公款，挪地方	
10	哪	哪	na33	na33	naa2	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	哪個	
11	那	那	na22	na22	naa6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	那裏	
12	羅	罗	lo21	lo21	lo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	姓	
13	鑼	锣	lo21	lo21	lo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	鑼鼓	
14	籮	箩	lo21	lo21	lo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	籮筐，裝稻穀用	
15	左	左	tʃo33	tʃo33	zo2	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	左手，左右	
16	佐	佐	tʃo33	tʃo33	zo2	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	輔佐，佐料	
17	搓	搓	tʃʰo53	tʃʰo53	co1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	搓手，搓繩子，搓衣服，搓麻將	
18	歌	歌	ko53	ko53	go1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	唱歌，歌曲	
19	哥	哥	ko53	ko53	go1	1998年楊煥典主編《廣西通誌·漢語方言誌》P618		
20	個	个	ko55	ko55	go3	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	一個，這個，個人，個體戶	
21	可	可	kʰo33	kʰo33	ko2	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	可以，許可證	
22	蛾	蛾	ŋo21	ŋo21	ngo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	飛蛾，夏天晚上集中到亮處的動物，似蝴蝶	
23	鵝	鹅	ŋo21	ŋo21	ngo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	一種家禽	
