ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	tɔ55	tɔ55	do1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	多少，多數	
2	拖	拖	tʰɔ55	tʰɔ55	to1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	拖車，拖鞋，拖拉機	
3	他	他	tʰa55	tʰa55	taa1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	其他	
4	駝	驼	tʰɔ21	tʰɔ21	to4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	駝背，駱駝	
5	馱	驮	tʰɔ21	tʰɔ21	to4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	馱東西（揹負或扛在肩上），拿在手裏	
6	馱	驮	tɔ22	tɔ22	do6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	馱子	
7	舵	舵	tɔ22	tɔ22	do6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	船舵，舵手	
8	大	大	tai22	tai22	daai6	1998年楊煥典主編《廣西通誌·漢語方言誌》P617，650	大小，大學；大夫，大黃，大蒜	
9	挪	挪	nɔ21	nɔ21	no4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	挪用公款，挪地方	
10	哪	哪	na24	na24	naa5	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	哪個	
11	那	那	na24	na24	naa5	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	那裏	
12	羅	罗	lɔ21	lɔ21	lo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	姓	
13	鑼	锣	lɔ21	lɔ21	lo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	鑼鼓	
14	籮	箩	lɔ21	lɔ21	lo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	籮筐，裝稻穀用	
15	左	左	tsɔ35	tʃɔ35	zo2	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	左手，左右	
16	佐	佐	tsɔ35	tʃɔ35	zo2	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	輔佐，佐料	
17	搓	搓	tsʰɔ55	tʃʰɔ55	co1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	搓手，搓繩子，搓衣服，搓麻將	
18	搓	搓	nɔ55	nɔ55	no1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617		應作「捼/挼」字
19	捼	捼	nɔ55	nɔ55	no1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617		原文作「搓」字
20	挼	挼	nɔ55	nɔ55	no1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617		原文作「搓」字
21	歌	歌	kɔ55	kɔ55	go1	1998年楊煥典主編《廣西通誌·漢語方言誌》P617	唱歌，歌曲	
22	哥	哥	kɔ55	kɔ55	go1	1998年楊煥典主編《廣西通誌·漢語方言誌》P618		
23	個	个	kɔ33	kɔ33	go3	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	一個，這個，個人，個體戶	
24	可	可	hɔ35	hɔ35	ho2	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	可以，許可證	
25	蛾	蛾	ŋɔ21	ŋɔ21	ngo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	飛蛾，夏天晚上集中到亮處的動物，似蝴蝶	
26	鵝	鹅	ŋɔ21	ŋɔ21	ngo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	一種家禽	
27	俄	俄	ŋɔ21	ŋɔ21	ngo4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	俄國，蘇俄	
28	我	我	ŋɔ24	ŋɔ24	ngo5	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	我們	
29	餓	饿	ŋɔ22	ŋɔ22	ngo6	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	肚子餓，餓他一頓，餓肚子	
30	荷	荷	hɔ21	hɔ21	ho4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	薄荷（有兩種，做菜用，藥用）；荷花	
31	何	何	hɔ21	hɔ21	ho4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	姓，哪裏	
32	河	河	hɔ21	hɔ21	ho4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	一條河，黃河	
33	賀	贺	hɔ22	hɔ22	ho6	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	姓，祝賀	
34	阿	阿	ɔ55	∅ɔ55	o1	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	阿膠，阿彌陀佛	
35	阿	阿	a33	∅a33	aa3	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	阿哥	
36	茄	茄	kʰɛ21	kʰɛ21	ke4	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	茄子	
37	波	波	pɔ55	pɔ55	bo1	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	波浪，風波	
38	菠	菠	pɔ55	pɔ55	bo1	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	菠菜	
39	跛	跛	pɐi55	pɐi55	bai1	1998年楊煥典主編《廣西通誌·漢語方言誌》P618	跛足	
40	簸	簸	pɔ33	pɔ33	bo3	1998年楊煥典主編《廣西通誌·漢語方言誌》P619	簸箕，簸穀	
41	頗	颇	pʰɔ35	pʰɔ35	po2	1998年楊煥典主編《廣西通誌·漢語方言誌》P619	頗有心得	
42	坡	坡	pʰɔ55	pʰɔ55	po1	1998年楊煥典主編《廣西通誌·漢語方言誌》P619	山坡，山體滑坡	
43	玻	玻	pɔ55	pɔ55	bo1	1998年楊煥典主編《廣西通誌·漢語方言誌》P619	玻璃	
44	破	破	pʰɔ33	pʰɔ33	po3	1998年楊煥典主編《廣西通誌·漢語方言誌》P619	東西破了，破魚肚，破壞	
