ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	tɔ41	to53	do1	2000年李連進《平話音韻研究》P1		
2	拖	拖	tʰɔ41	tʰo53	to1	2000年李連進《平話音韻研究》P1		
3	他	他	tʰa41	tʰa53	taa1	2000年李連進《平話音韻研究》P1		
4	駝	驼	tɔ21	to21	do4	2000年李連進《平話音韻研究》P1		
5	馱	驮	tɔ21	to21	do4	2000年李連進《平話音韻研究》P1	馱起來	
6	舵	舵	ta13	ta24	daa5	2000年李連進《平話音韻研究》P1		
7	大	大	tai223	tai22	daai6	2000年李連進《平話音韻研究》P1，62	大小；大夫，大黃	
8	馱	驮	tai223	tai22	daai6	2000年李連進《平話音韻研究》P1	馱子	
9	挪	挪	na21	na21	naa4	2000年李連進《平話音韻研究》P1		
10	哪	哪	na13	na24	naa5	2000年李連進《平話音韻研究》P1	哪個	
11	那	那	na13	na24	naa5	2000年李連進《平話音韻研究》P2		
12	羅	罗	lɔ21	lo21	lo4	2000年李連進《平話音韻研究》P2		
13	鑼	锣	lɔ21	lo21	lo4	2000年李連進《平話音韻研究》P2		
14	籮	箩	lɔ21	lo21	lo4	2000年李連進《平話音韻研究》P2		
15	左	左	tɕɔ33	tʃo33	zo2	2000年李連進《平話音韻研究》P2		
16	佐	佐	tɕɔ55	tʃo55	zo3	2000年李連進《平話音韻研究》P2		
17	搓	搓	tɕʰa41	tʃʰa53	caa1	2000年李連進《平話音韻研究》P2		
18	歌	歌	kɔ41	ko53	go1	2000年李連進《平話音韻研究》P2		
19	哥	哥	kɔ41	ko53	go1	2000年李連進《平話音韻研究》P2		
20	個	个	kɔ55	ko55	go3	2000年李連進《平話音韻研究》P2	個人	
21	可	可	kʰɔ33	kʰo33	ko2	2000年李連進《平話音韻研究》P3		
22	蛾	蛾	ŋɔ21	ŋo21	ngo4	2000年李連進《平話音韻研究》P3		
23	鵝	鹅	ŋɔ21	ŋo21	ngo4	2000年李連進《平話音韻研究》P3		
24	俄	俄	ŋɔ21	ŋo21	ngo4	2000年李連進《平話音韻研究》P3		
25	我	我	ŋɔ13	ŋo24	ngo5	2000年李連進《平話音韻研究》P3		
26	餓	饿	ŋɔ223	ŋo22	ngo6	2000年李連進《平話音韻研究》P3		
27	河	河	hɔ21	ho21	ho4	2000年李連進《平話音韻研究》P3		
28	何	何	hɔ21	ho21	ho4	2000年李連進《平話音韻研究》P3		
29	荷	荷	hɔ21	ho21	ho4	2000年李連進《平話音韻研究》P3	荷花	
30	賀	贺	hɔ223	ho22	ho6	2000年李連進《平話音韻研究》P4		
31	阿	阿	a55	∅a55	aa3	2000年李連進《平話音韻研究》P4	阿膠；阿哥	
32	茄	茄	ki21	ki21	gi4	2000年李連進《平話音韻研究》P4	茄子	
33	波	波	pɔ41	po53	bo1	2000年李連進《平話音韻研究》P4		
34	菠	菠	pɔ41	po53	bo1	2000年李連進《平話音韻研究》P4	菠菜	
35	跛	跛	pʰɔ33	pʰo33	po2	2000年李連進《平話音韻研究》P4	跛足	
36	簸	簸	pʰu55	pʰu55	pu3	2000年李連進《平話音韻研究》P4	簸一簸；簸箕	
37	頗	颇	pʰɔ33	pʰo33	po2	2000年李連進《平話音韻研究》P4		
38	坡	坡	pʰɔ33	pʰo33	po2	2000年李連進《平話音韻研究》P4		原文如此
39	玻	玻	pɔ41	po53	bo1	2000年李連進《平話音韻研究》P5	玻璃	
40	破	破	pʰɔ55	pʰo55	po3	2000年李連進《平話音韻研究》P5		原文誤作[po55]
41	婆	婆	pu21	pu21	bu4	2000年李連進《平話音韻研究》P5		
42	薄	薄	pɷk2	pok2	buk6	2000年李連進《平話音韻研究》P5，281	薄荷；厚薄	
43	魔	魔	mɔ41	mo53	mo1	2000年李連進《平話音韻研究》P5		
44	磨	磨	mu21	mu21	mu4	2000年李連進《平話音韻研究》P5	磨刀	
45	摩	摩	mu41	mu53	mu1	2000年李連進《平話音韻研究》P5		
46	磨	磨	mu223	mu22	mu6	2000年李連進《平話音韻研究》P5	石磨	
47	朵	朵	tu33	tu33	du2	2000年李連進《平話音韻研究》P5		原文作「朶」字
48	躲	躲	tɔ33	to33	do2	2000年李連進《平話音韻研究》P6		
49	剁	剁	tu55	tu55	du3	2000年李連進《平話音韻研究》P6		
50	妥	妥	tʰɔ33	tʰo33	to2	2000年李連進《平話音韻研究》P6		
51	橢	椭	tɔ13	to24	do5	2000年李連進《平話音韻研究》P6	橢圓	
52	唾	唾	tʰu33	tʰu33	tu2	2000年李連進《平話音韻研究》P6	唾液	
53	唾	唾	ɕan21	ʃan21	saan4	2000年李連進《平話音韻研究》P6	唾液	訓讀「漦/涎」
54	惰	惰	tɔ223	to22	do6	2000年李連進《平話音韻研究》P6		
55	糯	糯	nu223	nu22	nu6	2000年李連進《平話音韻研究》P6	糯米	
56	騾	骡	ly21	ly21	lyu4	2000年李連進《平話音韻研究》P6		
57	螺	螺	lɔ21	lo21	lo4	2000年李連進《平話音韻研究》P6	螺螄	
58	囉	啰	lɔ41	lo53	lo1	2000年李連進《平話音韻研究》P7	囉嗦	原文作「羅」字，釋義「羅唆」
59	裸	裸	kɔ33	ko33	go2	2000年李連進《平話音韻研究》P7	裸體	
60	銼	锉	tɕʰɔ55	tʃʰo55	co3	2000年李連進《平話音韻研究》P7		
61	坐	坐	tɕu13	tʃu24	zu5	2000年李連進《平話音韻研究》P7		
62	座	座	tɕɔ223	tʃo22	zo6	2000年李連進《平話音韻研究》P7		
63	蓑	蓑	ɬɔ41	ɬo53	slo1	2000年李連進《平話音韻研究》P8		
64	梭	梭	ɬɔ41	ɬo53	slo1	2000年李連進《平話音韻研究》P8	織布梭	
65	唆	唆	ɬɔ41	ɬo53	slo1	2000年李連進《平話音韻研究》P8	囉唆	
