ID	TXT_ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	C1	巴	巴	pa55	pa55	baa1	2003年侯精一《現代漢語方言音庫(字庫)》P2，3		
2	C2	拔	拔	pat2	pat2	baat6	2003年侯精一《現代漢語方言音庫(字庫)》P2，3		
3	C3	髮	发	fat3	fat3	faat3	2003年侯精一《現代漢語方言音庫(字庫)》P2，3		原文作「髪」字。
4	C4	伐	伐	fat2	fat2	faat6	2003年侯精一《現代漢語方言音庫(字庫)》P2，3		
5	C5	法	法	fat3	fat3	faat3	2003年侯精一《現代漢語方言音庫(字庫)》P2，3		
6	C6	達	达	tat2	tat2	daat6	2003年侯精一《現代漢語方言音庫(字庫)》P4，5		
7	C7	答	答	tap3	tap3	daap3	2003年侯精一《現代漢語方言音庫(字庫)》P4，5		
8	C8	塔	塔	tʰap3	tʰap3	taap3	2003年侯精一《現代漢語方言音庫(字庫)》P4，5		
9	C9	拿	拿	na21	na21	naa4	2003年侯精一《現代漢語方言音庫(字庫)》P4，5		
10	C10	納	纳	nap2	nap2	naap6	2003年侯精一《現代漢語方言音庫(字庫)》P4，5		
11	C11	臘	腊	lap2	lap2	laap6	2003年侯精一《現代漢語方言音庫(字庫)》P6，7		
12	C12	辣	辣	lat2	lat2	laat6	2003年侯精一《現代漢語方言音庫(字庫)》P6，7		
13	C13	雜	杂	tsap2	tʃap2	zaap6	2003年侯精一《現代漢語方言音庫(字庫)》P6，7		
14	C14	撒	撒	ɬat3	ɬat3	slaat3	2003年侯精一《現代漢語方言音庫(字庫)》P6，7		
15	C15	閘	闸	tsap2	tʃap2	zaap6	2003年侯精一《現代漢語方言音庫(字庫)》P6，7		
16	C16	鍘	铡	tsap2	tʃap2	zaap6	2003年侯精一《現代漢語方言音庫(字庫)》P8，9		
17	C17	炸	炸	tsa33	tʃa33	zaa3	2003年侯精一《現代漢語方言音庫(字庫)》P8，9		
18	C18	叉	叉	tsʰa55	tʃʰa55	caa1	2003年侯精一《現代漢語方言音庫(字庫)》P8，9		
19	C19	插	插	tsʰap3	tʃʰap3	caap3	2003年侯精一《現代漢語方言音庫(字庫)》P8，9		
20	C20	茶	茶	tsʰa21	tʃʰa21	caa4	2003年侯精一《現代漢語方言音庫(字庫)》P8，9		
21	C21	察	察	tsʰat3	tʃʰat3	caat3	2003年侯精一《現代漢語方言音庫(字庫)》P10，11		
22	C22	殺	杀	sat3	ʃat3	saat3	2003年侯精一《現代漢語方言音庫(字庫)》P10，11		
23	C23	沙	沙	sa55	ʃa55	saa1	2003年侯精一《現代漢語方言音庫(字庫)》P10，11		
24	C24	剎	刹	sat3	ʃat3	saat3	2003年侯精一《現代漢語方言音庫(字庫)》P10，11		
25	C25	家	家	ka55	ka55	gaa1	2003年侯精一《現代漢語方言音庫(字庫)》P10，11		
26	C26	甲	甲	kap3	kap3	gaap3	2003年侯精一《現代漢語方言音庫(字庫)》P12，13		
27	C27	恰	恰	hip3	hip3	hip3	2003年侯精一《現代漢語方言音庫(字庫)》P12，13		
28	C28	蝦	虾	ha55	ha55	haa1	2003年侯精一《現代漢語方言音庫(字庫)》P12，13	魚～。	
29	C29	瞎	瞎	hɐt2	hɐt2	hat6	2003年侯精一《現代漢語方言音庫(字庫)》P12，13		
30	C30	狹	狭	hap3	hap3	haap3	2003年侯精一《現代漢語方言音庫(字庫)》P12，13		
31	C31	下	下	ha24	ha24	haa5	2003年侯精一《現代漢語方言音庫(字庫)》P14，15	底～。	
32	C32	下	下	ha22	ha22	haa6	2003年侯精一《現代漢語方言音庫(字庫)》P14，15	～降。	
33	C33	鴉	鸦	a55	∅a55	aa1	2003年侯精一《現代漢語方言音庫(字庫)》P14，15		
34	C34	鴨	鸭	ap3	∅ap3	aap3	2003年侯精一《現代漢語方言音庫(字庫)》P14，15		
35	C35	牙	牙	ŋa21	ŋa21	ngaa4	2003年侯精一《現代漢語方言音庫(字庫)》P14，15		
36	C36	崖	崖	ŋai21	ŋai21	ngaai4	2003年侯精一《現代漢語方言音庫(字庫)》P16，17		
37	C37	涯	涯	ŋai21	ŋai21	ngaai4	2003年侯精一《現代漢語方言音庫(字庫)》P16，17		
38	C38	抓	抓	tsa55	tʃa55	zaa1	2003年侯精一《現代漢語方言音庫(字庫)》P16，17		
39	C39	刷	刷	tsʰat3	tʃʰat3	caat3	2003年侯精一《現代漢語方言音庫(字庫)》P16，17		
40	C40	瓜	瓜	kʷa55	kʷa55	gwaa1	2003年侯精一《現代漢語方言音庫(字庫)》P16，17		
41	C41	刮	刮	kʷat3	kʷat3	gwaat3	2003年侯精一《現代漢語方言音庫(字庫)》P18，19		
42	C42	掛	挂	kʷa33	kʷa33	gwaa3	2003年侯精一《現代漢語方言音庫(字庫)》P18，19		
