ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	tɔ55	tɔ55	do1	2007年李彬《左江土白話研究》P188		
2	拖	拖	tʰɔ55	tʰɔ55	to1	2007年李彬《左江土白話研究》P188		
3	他	他	tʰa55	tʰa55	taa1	2007年李彬《左江土白話研究》P188		
4	駝	驼	tʰɔ21	tʰɔ21	to4	2007年李彬《左江土白話研究》P188		
5	馱	驮	tʰɔ21	tʰɔ21	to4	2007年李彬《左江土白話研究》P188	馱起來；馱子	
6	舵	舵	tʰɔ13	tʰɔ24	to5	2007年李彬《左江土白話研究》P188		
7	大	大	tai22	tai22	daai6	2007年李彬《左江土白話研究》P188，203	大小；大夫，大黃	～人；～小
8	挪	挪	nɔ21	nɔ21	no4	2007年李彬《左江土白話研究》P188		
9	哪	哪	na13	na24	naa5	2007年李彬《左江土白話研究》P188	哪個	
10	那	那	na13	na24	naa5	2007年李彬《左江土白話研究》P188		
11	羅	罗	lɔ21	lɔ21	lo4	2007年李彬《左江土白話研究》P188		
12	鑼	锣	lɔ21	lɔ21	lo4	2007年李彬《左江土白話研究》P188		
13	籮	箩	lɔ21	lɔ21	lo4	2007年李彬《左江土白話研究》P188		
14	左	左	tsɔ35	tʃɔ35	zo2	2007年李彬《左江土白話研究》P188		
15	佐	佐	tsɔ35	tʃɔ35	zo2	2007年李彬《左江土白話研究》P188		
16	搓	搓	tsʰɔ55	tʃʰɔ55	co1	2007年李彬《左江土白話研究》P188		
17	歌	歌	kɔ55	kɔ55	go1	2007年李彬《左江土白話研究》P188		
18	哥	哥	kɔ55	kɔ55	go1	2007年李彬《左江土白話研究》P188		
19	個	个	kɔ33	kɔ33	go3	2007年李彬《左江土白話研究》P188	個人	
20	可	可	hɔ35	hɔ35	ho2	2007年李彬《左江土白話研究》P188		
21	蛾	蛾	ŋɔ21	ŋɔ21	ngo4	2007年李彬《左江土白話研究》P188		
