ID	CLASSIFI	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	一、自然/天空	天	天	tʰin55	tʰin55	tin1	P1072	天空	
2	一、自然/天亮了	天光了	天光了	tʰin55 kɔŋ55 liu23	tʰin55 kɔŋ55 liu24	tin1 gong1 liu5	P1072	天亮了	
3	一、自然/天黑了	天黑了	天黑了	tʰin55 hɐk5 liu23	tʰin55 hɐk5 liu24	tin1 hak1 liu5	P1072	天黑了	
4	一、自然/太陽	熱頭	热头	it2 tʰɐu21	jit2 tʰɐu21	jit6 tau4	P1074	太陽	原文「頭」字誤作[tʰɐu31]
5	一、自然/月亮	月光	月光	yt2 kɔŋ55	jyt2 kɔŋ55	jyut6 gong1	P1074	月亮	
6	一、自然/星	星	星	ɬiŋ55	ɬeŋ55	sling1	P1074	星	
7	一、自然/銀河	銀河	银河	ŋɐn21 hɔ21	ŋɐn21 hɔ21	ngan4 ho4	P1076	銀河	
8	一、自然/彗星	掃把星	扫把星	ɬu33 pa35 ɬiŋ55	ɬu33 pa35 ɬeŋ55	slu3 baa2 sling1	P1076	彗星	
9	一、自然/雲彩	雲	云	uɐn21	wɐn21	wan4	P1076	雲彩	
10	一、自然/颱風	颱風	台风	tʰɔi21 fuŋ55	tʰɔi21 fʊŋ55	toi4 fung1	P1078	颱風	
11	一、自然/頂風	頂頭風	顶头风	tiŋ35 tʰɐu21 fuŋ55	teŋ35 tʰɐu21 fʊŋ55	ding2 tau4 fung1	P1078	頂風	
12	一、自然/順風	順風	顺风	ʃɐn22 fuŋ55	ʃɐn22 fʊŋ55	san6 fung1	P1078	順風	
13	一、自然/颳風	翻風	翻风	fan55 fuŋ55	fan55 fʊŋ55	faan1 fung1	P1080	颳風	
14	一、自然/打雷	雷公響	雷公响	lui21 kuŋ55 hœŋ35	lui21 kʊŋ55 hœŋ35	lui4 gung1 hoeng2	P1080	打雷	
15	一、自然/閃電	閃電	闪电	ʃim35 tin22	ʃim35 tin22	sim2 din6	P1080	閃電	
16	一、自然/大雨	大雨	大雨	tai22 y23	tai22 jy24	daai6 jyu5	P1082	大雨	原文「大」字誤作[tʰai22]
17	一、自然/暴雨	暴雨	暴雨	pu22 y23	pu22 jy24	bu6 jyu5	P1082	暴雨	
