ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	tɔ55	tɔ55	do1	2007年謝建猷《廣西漢語方言研究》		
2	拖	拖	tʰɔ55	tʰɔ55	to1	2007年謝建猷《廣西漢語方言研究》		原網作「拕」字
3	他	他	tʰa55	tʰa55	taa1	2007年謝建猷《廣西漢語方言研究》		
4	駝	驼	tʰɔ21	tʰɔ21	to4	2007年謝建猷《廣西漢語方言研究》	馱起來	
5	馱	驮	tʰɔ21	tʰɔ21	to4	2007年謝建猷《廣西漢語方言研究》	馱子	
6	舵	舵	tʰai23	tʰai24	taai5	2007年謝建猷《廣西漢語方言研究》		
7	大	大	tai22	tai22	daai6	2007年謝建猷《廣西漢語方言研究》	大夫、大黃讀音亦同	
8	挪	挪	nɔ21	nɔ21	no4	2007年謝建猷《廣西漢語方言研究》		
9	那	那	na23	na24	naa5	2007年謝建猷《廣西漢語方言研究》		
10	羅	罗	lɔ21	lɔ21	lo4	2007年謝建猷《廣西漢語方言研究》		
11	鑼	锣	lɔ21	lɔ21	lo4	2007年謝建猷《廣西漢語方言研究》		
12	籮	箩	lɔ21	lɔ21	lo4	2007年謝建猷《廣西漢語方言研究》		
13	左	左	tʃɔ35	tʃɔ35	zo2	2007年謝建猷《廣西漢語方言研究》		
14	佐	佐	tʃɔ35	tʃɔ35	zo2	2007年謝建猷《廣西漢語方言研究》		
15	搓	搓	tʃʰɔ55	tʃʰɔ55	co1	2007年謝建猷《廣西漢語方言研究》		
16	歌	歌	kɔ55	kɔ55	go1	2007年謝建猷《廣西漢語方言研究》		
17	哥	哥	kɔ55	kɔ55	go1	2007年謝建猷《廣西漢語方言研究》		
18	個	个	kɔ33	kɔ33	go3	2007年謝建猷《廣西漢語方言研究》	個人	
19	可	可	hɔ35	hɔ35	ho2	2007年謝建猷《廣西漢語方言研究》		
20	蛾	蛾	ŋɔ21	ŋɔ21	ngo4	2007年謝建猷《廣西漢語方言研究》		
21	蛾	蛾	ŋɐi23	ŋɐi24	ngai5	2007年謝建猷《廣西漢語方言研究》		
22	鵝	鹅	ŋɔ21	ŋɔ21	ngo4	2007年謝建猷《廣西漢語方言研究》		
23	俄	俄	ŋɔ21	ŋɔ21	ngo4	2007年謝建猷《廣西漢語方言研究》		
24	我	我	ŋɔ23	ŋɔ24	ngo5	2007年謝建猷《廣西漢語方言研究》		
25	餓	饿	ŋɔ22	ŋɔ22	ngo6	2007年謝建猷《廣西漢語方言研究》		
26	荷	荷	hɔ21	hɔ21	ho4	2007年謝建猷《廣西漢語方言研究》	薄荷、荷花讀音亦同	
27	何	何	hɔ21	hɔ21	ho4	2007年謝建猷《廣西漢語方言研究》		
28	河	河	hɔ21	hɔ21	ho4	2007年謝建猷《廣西漢語方言研究》		
29	賀	贺	hɔ22	hɔ22	ho6	2007年謝建猷《廣西漢語方言研究》		
30	阿	阿	∅ɔ55	∅ɔ55	o1	2007年謝建猷《廣西漢語方言研究》	阿膠、阿哥讀音亦同	
31	茄	茄	kʰɛ21	kʰɛ21	ke4	2007年謝建猷《廣西漢語方言研究》	茄子	
32	波	波	pɔ55	pɔ55	bo1	2007年謝建猷《廣西漢語方言研究》		
33	跛	跛	pɔ35	pɔ35	bo2	2007年謝建猷《廣西漢語方言研究》	跛足	
34	簸	簸	pɔ33	pɔ33	bo3	2007年謝建猷《廣西漢語方言研究》	簸箕	
35	頗	颇	pʰɔ55	pʰɔ55	po1	2007年謝建猷《廣西漢語方言研究》		
36	坡	坡	pʰɔ55	pʰɔ55	po1	2007年謝建猷《廣西漢語方言研究》		
37	玻	玻	pɔ55	pɔ55	bo1	2007年謝建猷《廣西漢語方言研究》	玻璃	
38	破	破	pʰɔ33	pʰɔ33	po3	2007年謝建猷《廣西漢語方言研究》		
39	婆	婆	pʰɔ21	pʰɔ21	po4	2007年謝建猷《廣西漢語方言研究》		
40	薄	薄	pɔk2	pɔk2	bok6	2007年謝建猷《廣西漢語方言研究》	單字讀	
41	薄	薄	pɔ21	pɔ21	bo4	2007年謝建猷《廣西漢語方言研究》	薄荷	
42	魔	魔	mɔ55	mɔ55	mo1	2007年謝建猷《廣西漢語方言研究》		
43	磨	磨	mɔ22	mɔ22	mo6	2007年謝建猷《廣西漢語方言研究》	石磨	
44	磨	磨	mɔ21	mɔ21	mo4	2007年謝建猷《廣西漢語方言研究》	磨刀	
45	摩	摩	mɔ55	mɔ55	mo1	2007年謝建猷《廣西漢語方言研究》		
46	朵	朵	tɔ35	tɔ35	do2	2007年謝建猷《廣西漢語方言研究》		
47	剁	剁	tɔ33	tɔ33	do3	2007年謝建猷《廣西漢語方言研究》		原網作「刴」字
48	妥	妥	tʰɔ35	tʰɔ35	to2	2007年謝建猷《廣西漢語方言研究》		
49	橢	椭	tʰɔ35	tʰɔ35	to2	2007年謝建猷《廣西漢語方言研究》	橢圓	
50	唾	唾	tʰɔ33	tʰɔ33	to3	2007年謝建猷《廣西漢語方言研究》	唾液	
51	惰	惰	tɔ22	tɔ22	do6	2007年謝建猷《廣西漢語方言研究》		
52	糯	糯	nɔ22	nɔ22	no6	2007年謝建猷《廣西漢語方言研究》	糯米	原網作「稬」字
53	騾	骡	lɔ21	lɔ21	lo4	2007年謝建猷《廣西漢語方言研究》		
54	螺	螺	lɔ21	lɔ21	lo4	2007年謝建猷《廣西漢語方言研究》	螺螄	
55	腡	脶	lɔ21	lɔ21	lo4	2007年謝建猷《廣西漢語方言研究》	手指紋	
56	裸	裸	lɔ35	lɔ35	lo2	2007年謝建猷《廣西漢語方言研究》	裸體	
57	銼	锉	tʃʰɔ33	tʃʰɔ33	co3	2007年謝建猷《廣西漢語方言研究》		
58	坐	坐	tʃʰɔ23	tʃʰɔ24	co5	2007年謝建猷《廣西漢語方言研究》		
59	座	座	tʃɔ22	tʃɔ22	zo6	2007年謝建猷《廣西漢語方言研究》		
60	蓑	蓑	ɬɔi55	ɬɔi55	sloi1	2007年謝建猷《廣西漢語方言研究》		
61	梭	梭	ʃɔ55	ʃɔ55	so1	2007年謝建猷《廣西漢語方言研究》	織布梭	
62	唆	唆	ʃɔ55	ʃɔ55	so1	2007年謝建猷《廣西漢語方言研究》	囉唆	
63	莎	莎	ʃɔ55	ʃɔ55	so1	2007年謝建猷《廣西漢語方言研究》	莎草	
64	鎖	锁	ɬɔ35	ɬɔ35	slo2	2007年謝建猷《廣西漢語方言研究》		
65	瑣	琐	ɬɔ35	ɬɔ35	slo2	2007年謝建猷《廣西漢語方言研究》	瑣碎	
66	鍋	锅	kɔ55	kɔ55	go1	2007年謝建猷《廣西漢語方言研究》		
67	戈	戈	kɔ55	kɔ55	go1	2007年謝建猷《廣西漢語方言研究》		
68	果	果	kɔ35	kɔ35	go2	2007年謝建猷《廣西漢語方言研究》		
69	裹	裹	kɔ35	kɔ35	go2	2007年謝建猷《廣西漢語方言研究》		
70	過	过	kɔ33	kɔ33	go3	2007年謝建猷《廣西漢語方言研究》		
71	科	科	fɔ55	fɔ55	fo1	2007年謝建猷《廣西漢語方言研究》		
72	窠	窠	pʰɔ55	pʰɔ55	po1	2007年謝建猷《廣西漢語方言研究》		
73	棵	棵	pʰɔ55	pʰɔ55	po1	2007年謝建猷《廣西漢語方言研究》		
74	顆	颗	kʰɔ35	kʰɔ35	ko2	2007年謝建猷《廣西漢語方言研究》	一顆珠	
75	課	课	kʰɔ33	kʰɔ33	ko3	2007年謝建猷《廣西漢語方言研究》		
76	訛	讹	ŋɔ21	ŋɔ21	ngo4	2007年謝建猷《廣西漢語方言研究》		
77	臥	卧	ŋɔ22	ŋɔ22	ngo6	2007年謝建猷《廣西漢語方言研究》		
