ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
1	東	东	tuŋ55	tʊŋ55	dung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2	菄	菄	tuŋ55	tʊŋ55	dung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
3	同	同	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
4	衕	同	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
5	仝	仝	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
6	童	童	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
7	銅	铜	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
8	桐	桐	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
9	筒	筒	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
10	瞳	瞳	tʰuŋ21	tʰʊŋ21	tung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
11	中	中	tʃuŋ55	t͡ʃʊŋ55	zung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	當中。	
12	忠	忠	tʃuŋ55	t͡ʃʊŋ55	zung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
13	蟲	虫	tʃʰuŋ21	t͡ʃʰʊŋ21	cung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
14	終	终	tʃuŋ55	t͡ʃʊŋ55	zung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
15	崇	崇	tʃʰuŋ21	t͡ʃʰʊŋ21	cung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		標音誤爲[uk]，此地應爲[uŋ]。
16	崈	崈	tʃʰuŋ21	t͡ʃʰʊŋ21	cung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		同「崇」字。標音誤爲[uk]，此地應爲[uŋ]。
17	嵩	嵩	ɬuŋ55	ɬʊŋ55	slung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
18	崧	崧	ɬuŋ55	ɬʊŋ55	slung1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
19	戎	戎	0iuŋ21	jʊŋ21	jung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
20	𢦦	𢦦	0iuŋ21	jʊŋ21	jung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
21	狨	狨	0iuŋ21	jʊŋ21	jung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
22	絨	绒	0iuŋ21	jʊŋ21	jung4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
