ID	CLASSIFI	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	一、天文（1）日、月、星/太陽	熱頭	热头	jit2 tʰɐu21	jit2 tʰɐu21	jit6 tau4	P120	太陽1	
2	一、天文（1）日、月、星/太陽	日頭	日头	jɐt2 tʰɐu21	jɐt2 tʰɐu21	jat6 tau4	P120	太陽2	
3	一、天文（1）日、月、星/陽光	熱頭	热头	jit2 tʰɐu21	jit2 tʰɐu21	jit6 tau4	P120	陽光1	
4	一、天文（1）日、月、星/陽光	太陽	太阳	tʰai33 jœŋ21	tʰai33 jœŋ21	taai3 joeng4	P120	陽光2	原文「太」字誤作[tai33]
5	一、天文（1）日、月、星/陽光猛烈	熱頭大	热头大	jit2 tʰɐu21 tai22	jit2 tʰɐu21 tai22	jit6 tau4 daai6	P120	陽光猛烈1	原文「頭」字誤作[tɐu21]，「大」字誤作[ta22]
6	一、天文（1）日、月、星/陽光猛烈	太陽曬	太阳晒	tʰai33 jœŋ21 ʃai33	tʰai33 jœŋ21 ʃai33	taai3 joeng4 saai3	P120	陽光猛烈2	原文「太」字誤作[tai33]
7	一、天文（1）日、月、星/陽光猛烈	曬啪啪	晒啪啪	ʃai33 pak5 pak5	ʃai33 pak5 pak5	saai3 baak1 baak1	P120	陽光猛烈3	原文[pak5]有音無字
8	一、天文（1）日、月、星/陽光猛烈	㷫烚烚	㷫烚烚	heŋ33 hɐp2 hɐp2	heŋ33 hɐp2 hɐp2	hing3 hap6 hap6	P120	陽光猛烈4	原文作「興熻熻」
9	一、天文（1）日、月、星/太陽地兒	熱頭底下	热头底下	jit2 tʰɐu21 tɐi35 ha22	jit2 tʰɐu21 tɐi35 ha22	jit6 tau4 dai2 haa6	P120	熱頭底下	
10	一、天文（1）日、月、星/向陽	向南	向南	hœŋ33 nam21	hœŋ33 nam21	hoeng3 naam4	P120	向陽1	
11	一、天文（1）日、月、星/向陽	朝南	朝南	tʃʰiu21 nam21	tʃʰiu21 nam21	ciu4 naam4	P120	向陽2	
12	一、天文（1）日、月、星/向陽	開陽	开阳	hɔi55 jœŋ21	hɔi55 jœŋ21	hoi1 joeng4	P120	向陽3	原文「開」字誤作[hai55]
13	一、天文（1）日、月、星/背陰	背陰	背阴	pui33 jɐm55	pui33 jɐm55	bui3 jam1	P120	背陰1	原文「背」字誤作[pui22]
14	一、天文（1）日、月、星/背陰	陰定	阴定	jɐm55 tɛŋ22	jɐm55 tɛŋ22	jam1 deng6	P120	背陰2，「定」指地方	
15	一、天文（1）日、月、星/日食（日蝕）	天狗食日	天狗食日	tʰin55 kɐu35 ʃek2 jɐt2	tʰin55 kɐu35 ʃek2 jɐt2	tin1 gau2 sik6 jat6	P120	日食（日蝕）	原文作「吃」字
16	一、天文（1）日、月、星/日暈	熱頭戴箍	热头戴箍	jit2 tʰɐu21 tai33 kʰu55	jit2 tʰɐu21 tai33 kʰu55	jit6 tau4 daai3 ku1	P120	日暈1	原文「戴」字誤作[tai35]
17	一、天文（1）日、月、星/日暈	熱頭戴暀	热头戴暀	jit2 tʰɐu21 tai33 kʷɐŋ22	jit2 tʰɐu21 tai33 kʷɐŋ22	jit6 tau4 daai3 gwang6	P120	日暈2	原文「戴」字誤作[tai35]，原文[kʷɐŋ22]有音無字
18	一、天文（1）日、月、星/月亮	月光	月光	jyt2 kɔŋ55	jyt2 kɔŋ55	jyut6 gong1	P120	月亮	
