ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	㷫	㷫	heŋ33	heŋ33	hing3	2008年林亦、覃鳳餘《廣西南寧白話研究》P122，190	指熱得發燙，翻熱。	原文用「興」作同音替代字，此處根據白宛如《廣州方言詞典》P387和詹伯慧《廣州話正音字典》P345補充。
2	簷	檐	jim21	jim21	jim4	2008年林亦、覃鳳餘《廣西南寧白話研究》P147	～蛇：壁虎。	
3	下	下	ha33	ha33	haa3	2008年林亦、覃鳳餘《廣西南寧白話研究》P16	一～子：一會兒。	
4	毛	毛	mu55	mu55	mu1	2008年林亦、覃鳳餘《廣西南寧白話研究》P16，36	當爲「毛」的變音，發～：發黴長毛。	
5	撈	捞	lu55	lu55	lu1	2008年林亦、覃鳳餘《廣西南寧白話研究》P16，36	〔白讀〕拌，攪，攪拌。	
6	打	打	ta55	ta55	daa1	2008年林亦、覃鳳餘《廣西南寧白話研究》P16，41	量詞，一打。	
7	下	下	ha24	ha24	haa5	2008年林亦、覃鳳餘《廣西南寧白話研究》P16，42	一～子，等～：等一會兒。	
8	下	下	ha22	ha22	haa6	2008年林亦、覃鳳餘《廣西南寧白話研究》P16，42	下面，下放，底下。	
9	會	会	wui35	wui35	wui2	2008年林亦、覃鳳餘《廣西南寧白話研究》P17，37	大會堂。	
10	會	会	wui33	wui33	wui3	2008年林亦、覃鳳餘《廣西南寧白話研究》P17	冇～：不會。	
11	會	会	wui22	wui22	wui6	2008年林亦、覃鳳餘《廣西南寧白話研究》P17，37	會議，會計，開會。	
12	衰	衰	ʃui55	ʃui55	sui1	2008年林亦、覃鳳餘《廣西南寧白話研究》P17，37	倒楣。	
13	柺	拐	kwʰai35	kʷʰai35	kwaai2	2008年林亦、覃鳳餘《廣西南寧白話研究》P18	～棍，～杖，鐵～李。	與「柺杖」有關用「柺」。原文作「拐」字。
14	枴	拐	kwʰai35	kʷʰai35	kwaai2	2008年林亦、覃鳳餘《廣西南寧白話研究》P18	～棍，～杖，鐵～李。	同「柺」字。原文作「拐」字。
15	拐	拐	kwai35	kʷai35	gwaai2	2008年林亦、覃鳳餘《廣西南寧白話研究》P18，42		
16	老	老	lau55	lau55	laau1	2008年林亦、覃鳳餘《廣西南寧白話研究》P19	～佬，對北方人的俗稱，傳說來自「老兄」一詞「老」的官話音。	麥耘、譚步雲《實用廣州話分類詞典》P19也作「撈」。
17	漏	漏	lɐu33	lɐu33	lau3	2008年林亦、覃鳳餘《廣西南寧白話研究》P19，48	遺漏，落下：～車；～花生：對花生撿漏；遺漏的東西。	
18	抄	抄	tʃʰɛu33	tʃʰɛu33	ceu3	2008年林亦、覃鳳餘《廣西南寧白話研究》P19，54	〔白讀〕翻找，亂翻。	
19	鳥	鸟	tɛu55	tɛu55	deu1	2008年林亦、覃鳳餘《廣西南寧白話研究》P19，54	〔白讀〕麻～：男性生殖器。	南寧平話亦有此用法，見覃遠雄等《南寧平話詞典》P13。
20	找	找	tʃɛu35	tʃɛu35	zeu2	2008年林亦、覃鳳餘《廣西南寧白話研究》P19，54	〔白讀〕找補，找散紙，找零錢。	
21	炸	炸	tʃɛu33	tʃɛu33	zeu3	2008年林亦、覃鳳餘《廣西南寧白話研究》P19，54	〔白讀〕〔又音〕炸油條，油炸。	本字「㷹」。
22	計	计	ki33	ki33	gi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P196	老夥計。	
23	浸	浸	tʃɐm33	tʃɐm33	zam3	2008年林亦、覃鳳餘《廣西南寧白話研究》P20，49	淹，浸泡。	
24	面	面	min35	min35	min2	2008年林亦、覃鳳餘《廣西南寧白話研究》P21	畀～：給面子。	
25	麪	面	min55	min55	min1	2008年林亦、覃鳳餘《廣西南寧白話研究》P21，33	〔白讀〕薯類很粉，形容詞。	
26	麵	面	min55	min55	min1	2008年林亦、覃鳳餘《廣西南寧白話研究》P21，33	〔白讀〕薯類很粉，形容詞。	同「麪」字。
27	浸	浸	tʃɐm22	tʃɐm22	zam6	2008年林亦、覃鳳餘《廣西南寧白話研究》P21，49	～死：淹死。	本字可能爲「沈(沉)」。
28	䀡	䀡	ʃɐm33	ʃɐm33	sam3	2008年林亦、覃鳳餘《廣西南寧白話研究》P21，49，110，210	仔細看；偷窺，偷看。	原文P21寫作「審」，P49和P110寫作「䀡」，P210寫作「瞫」，覃遠雄等《南寧平話詞典》P15寫作「瞫」。
29	瞫	瞫	ʃɐm33	ʃɐm33	sam3	2008年林亦、覃鳳餘《廣西南寧白話研究》P21，49，110，210	仔細看；偷窺，偷看。	原文P21寫作「審」，P49和P110寫作「䀡」，P210寫作「瞫」，參見「䀡」字。
30	兼	兼	kɛm55	kɛm55	gem1	2008年林亦、覃鳳餘《廣西南寧白話研究》P21，54	打球等遊戲中的淘汰。	原文以「兼」字替代，應來源於英文game over。
31	困	困	wɐn33	wɐn33	wan3	2008年林亦、覃鳳餘《廣西南寧白話研究》P22，51	〔白讀〕關，圈起。	麥耘、譚步雲《實用廣州話分類詞典》P237寫作「圂」，詹伯慧《廣州話正音字典》P364寫作「韞」字。
32	韌	韧	ŋɐn22	ŋɐn22	ngan6	2008年林亦、覃鳳餘《廣西南寧白話研究》P22，51	〔白讀〕煙煙～～：食物有勁道。	「煙」爲同音替代字。
33	聽	听	tʰeŋ33	tʰeŋ33	ting3	2008年林亦、覃鳳餘《廣西南寧白話研究》P23，34	等。	
34	擰	拧	neŋ55	neŋ55	ning1	2008年林亦、覃鳳餘《廣西南寧白話研究》P23，34	〔白讀〕～嘢：拿東西。	
35	擰	拧	neŋ22	neŋ22	ning6	2008年林亦、覃鳳餘《廣西南寧白話研究》P23，34	～轉：扭轉。	
36	擁	拥	∅uŋ35	∅ʊŋ35	ung2	2008年林亦、覃鳳餘《廣西南寧白話研究》P23，39	〔白讀〕推。	麥耘、譚步雲《實用廣州話分類詞典》P177寫作「㧬」。
37	擁	拥	juŋ35	jʊŋ35	jung2	2008年林亦、覃鳳餘《廣西南寧白話研究》P23，39	擁有，擁護。	
38	邊	边	pɛn55	pɛn55	ben1	2008年林亦、覃鳳餘《廣西南寧白話研究》P23，54	〔白讀〕一～：物體的一半；破～：剖開兩半。	
39	䂻	䂻	tʃaŋ22	tʃaŋ22	zaang6	2008年林亦、覃鳳餘《廣西南寧白話研究》P24，45，111	塞，撐。把物品往袋裏使勁塞，也喻指拼命吃，撐飽肚子，如：～到袋都裂，～到肚都爆。	
40	撘	撘	tɐp2	tɐp2	dap6	2008年林亦、覃鳳餘《廣西南寧白話研究》P25	捶打。《廣韻》打也，都合切。	麥耘、譚步雲《實用廣州話分類詞典》P179寫作「𢱕」，陳伯輝《論粵方言詞本字考釋》P146認爲本字寫作「搨」，白宛如《廣州方言詞典》P12寫作「䂿」。
41	𢱕	𢱕	tɐp2	tɐp2	dap6	2008年林亦、覃鳳餘《廣西南寧白話研究》P25	捶打。	原文作「撘」字，參見「撘」字。
42	兩	两	lœŋ35	lœŋ35	loeng2	2008年林亦、覃鳳餘《廣西南寧白話研究》P25，59	斤兩。	
43	兩	两	lœŋ24	lœŋ24	loeng5	2008年林亦、覃鳳餘《廣西南寧白話研究》P25，59	兩個。	
44	勩	勚	hɛt2	hɛt2	het6	2008年林亦、覃鳳餘《廣西南寧白話研究》P28，56，112	器物磨損。	參見唐七元《漢語方言同源詞研究》P248。
45	泡	泡	pɔk5	pɔk5	bok1	2008年林亦、覃鳳餘《廣西南寧白話研究》P29	泡，吹泡；皰，頭上生只泡。	覃遠雄等《南寧平話詞典》P25和白宛如《廣州方言詞典》P19皆寫作「𦢊」，南寧白話和平話今讀陰入，與《集韻》覺韻北角切相合，廣州話讀送氣音[pʰɔk5]。
46	摸	摸	mɔk3	mɔk3	mok3	2008年林亦、覃鳳餘《廣西南寧白話研究》P29	約～：大致。	也作「約莫mok6」。
47	卑	卑	pi55	pi55	bi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
48	悲	悲	pi55	pi55	bi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
49	碑	碑	pi55	pi55	bi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
50	蓖	蓖	pi55	pi55	bi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
51	比	比	pi35	pi35	bi2	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
52	畀	畀	pi35	pi35	bi2	2008年林亦、覃鳳餘《廣西南寧白話研究》P212	給，～支筆我：給我一支筆。	
53	譬	譬	pi35	pi35	bi2	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
54	閉	闭	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	〔又音〕。	
55	庇	庇	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
56	痹	痹	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
57	臂	臂	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
58	泌	泌	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
59	秘	秘	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	秘密，秘書。	
60	祕	秘	pi33	pi33	bi3	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	祕密，祕書。	同「秘」字。
61	備	备	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
62	被	被	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	被迫。	
63	鼻	鼻	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
64	俾	俾	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
65	幣	币	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	〔又音〕。	
66	陛	陛	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	〔又音〕。	
67	斃	毙	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
68	敝	敝	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
69	婢	婢	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
70	蔽	蔽	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
71	箅	箅	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
72	弊	弊	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
73	篦	篦	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
74	避	避	pi22	pi22	bi6	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
75	胚	胚	pʰi55	pʰi55	pi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
76	丕	丕	pʰi55	pʰi55	pi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
77	坯	坯	pʰi55	pʰi55	pi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
78	披	披	pʰi55	pʰi55	pi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
79	彼	彼	pʰi35	pʰi35	pi2	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
80	鄙	鄙	pʰi35	pʰi35	pi2	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
81	皮	皮	pʰi21	pʰi21	pi4	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
82	枇	枇	pʰi21	pʰi21	pi4	2008年林亦、覃鳳餘《廣西南寧白話研究》P30	枇杷。	
83	疲	疲	pʰi21	pʰi21	pi4	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
84	琵	琵	pʰi21	pʰi21	pi4	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
85	脾	脾	pʰi21	pʰi21	pi4	2008年林亦、覃鳳餘《廣西南寧白話研究》P30		
86	擠	挤	tʃi55	tʃi55	zi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P31	〔又音〕擁擠。	原文P116表示來自官話音。
87	之	之	tʃi55	tʃi55	zi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P31		
88	支	支	tʃi55	tʃi55	zi1	2008年林亦、覃鳳餘《廣西南寧白話研究》P31		
