ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	tɔ55	tɔ55	do1	2009年張菁雅《桂南平話語音比較研究》P87	多少，多數。	
2	拖	拖	tʰɔ55	tʰɔ55	to1	2009年張菁雅《桂南平話語音比較研究》P87	拖車，拖鞋，拖拉機。	
3	他	他	tʰa55	tʰa55	taa1	2009年張菁雅《桂南平話語音比較研究》P87	其他。	
4	駝	驼	tʰɔ21	tʰɔ21	to4	2009年張菁雅《桂南平話語音比較研究》P87	駝背，駱駝。	
5	馱	驮	tʰɔ21	tʰɔ21	to4	2009年張菁雅《桂南平話語音比較研究》P87	馱東西（揹負或扛在肩上），拿在手裏。	
6	舵	舵	tʰɔ21	tʰɔ21	to4	2009年張菁雅《桂南平話語音比較研究》P87	船舵，舵手。	
7	大	大	tai22	tai22	daai6	2009年張菁雅《桂南平話語音比較研究》P87	大小，大學；大夫，大黃，大蒜。	
8	挪	挪	nɔ21	nɔ21	no4	2009年張菁雅《桂南平話語音比較研究》P87	挪用公款，挪地方。	
9	哪	哪	na24	na24	naa5	2009年張菁雅《桂南平話語音比較研究》P87	哪個。	
10	那	那	na24	na24	naa5	2009年張菁雅《桂南平話語音比較研究》P87	那裏。	
11	羅	罗	lɔ21	lɔ21	lo4	2009年張菁雅《桂南平話語音比較研究》P87	姓。	
12	鑼	锣	lɔ21	lɔ21	lo4	2009年張菁雅《桂南平話語音比較研究》P87	鑼鼓。	
13	籮	箩	lɔ21	lɔ21	lo4	2009年張菁雅《桂南平話語音比較研究》P87	籮筐，裝稻穀用。	
14	左	左	tʃɔ35	tʃɔ35	zo2	2009年張菁雅《桂南平話語音比較研究》P87	左手，左右。	
15	佐	佐	tʃɔ35	tʃɔ35	zo2	2009年張菁雅《桂南平話語音比較研究》P87	輔佐，佐料。	
16	搓	搓	tʃʰɔ55	tʃʰɔ55	co1	2009年張菁雅《桂南平話語音比較研究》P87	搓手，搓繩子，搓衣服，搓麻將。	
17	歌	歌	kɔ55	kɔ55	go1	2009年張菁雅《桂南平話語音比較研究》P87	唱歌，歌曲。	
18	哥	哥	kɔ55	kɔ55	go1	2009年張菁雅《桂南平話語音比較研究》P87	哥哥，老哥，哥們兒。	
19	個	个	kɔ33	kɔ33	go3	2009年張菁雅《桂南平話語音比較研究》P87	一個，這個，個人，個體戶。	
20	可	可	hɔ35	hɔ35	ho2	2009年張菁雅《桂南平話語音比較研究》P87	可以，許可證。	
