ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	to53	to53	do1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
2	拖	拖	tʰo53	tʰo53	to1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
3	他	他	tʰa53	tʰa53	taa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
4	駝	驼	to21	to21	do4	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
5	馱	驮	to21	to21	do4	2009年陳海倫、林亦《粵語平話土話方音字彙》P2	馱起	
6	舵	舵	ta24	ta24	daa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
7	大	大	tai22	tai22	daai6	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
8	大	大	ta22	ta22	daa6	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
9	挪	挪	no21	no21	no4	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
10	哪	哪	na33	na33	naa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
11	羅	罗	lo21	lo21	lo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
12	鑼	锣	lo21	lo21	lo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
13	籮	箩	lo21	lo21	lo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
14	左	左	tso33	tʃo33	zo2	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
15	搓	搓	tsʰa53	tʃʰa53	caa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
16	歌	歌	ko53	ko53	go1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
17	哥	哥	ko53	ko53	go1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
18	個	个	ko55	ko55	go3	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
19	可	可	kʰo33	kʰo33	ko2	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
20	蛾	蛾	ŋo21	ŋo21	ngo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
21	鵝	鹅	ŋo21	ŋo21	ngo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
22	俄	俄	ŋo21	ŋo21	ngo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
23	我	我	ŋo24	ŋo24	ngo5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
24	餓	饿	ŋo22	ŋo22	ngo6	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
25	荷	荷	ho21	ho21	ho4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3，5	荷花；薄荷	
