[i]
pi55	蓖碑悲
pi21	避备鼻
pi35	譬比(～较)
pi33	闭臂痹
pi22	币毙箅(～子)陛
phi55	披
phi21	皮脾枇
phi35	彼
phi24	被(被子)婢(原文标调误为[13])
phi33	庇屁
mi21	迷谜昧靡眉微味微
mi35	尾
mi24	美
mi33	秘(～书)
fi55	飞妃翡 
fi21	肥
fi35	匪疿
ti55	啲(到[tu33]～：结束  原文有音无字)
ti21	地
ni21	弥宜腻疑
ni24	你
li21	离(～别)离(～开)梨利厘
li24	李里理
ɬi35	死
ɬi33	四
ʧi55	挤知支枝资脂辎之
ʧi21	字祠
ʧi35	紫纸只姊指子止址
ʧi33	智致稚至牸置治志痣
ʧi22	自
ʧhi55	滋痴
ʧhi21	脐池餈迟慈伺词寺饲持侍
ʧhi35	雌此徙侈耻齿始
ʧhi33	刺赐翅次似厕
ʧhi22	祈
ʃi55	斯撕施私尸丝思(～考)思(意～)诗
ʃi21	匙是豉示视士事时
ʃi35	屎史
ʃi24	市
ʃi33	师祀试
ki55	饥(饥饿)基机讥
ki35	几己纪杞几
ki33	寄冀记既
ki22	技妓忌
khi21	奇祁期旗
khi24	企徛
hi55	牺欺熙希
hi35	起喜
hi33	戏器气
Øi55	姨医衣咿(～～㕭[Øiau55]㕭[Øiau55]：嬉皮笑脸  原文有音无字)
Øi21	倪儿宜移易姨而异
Øi35	椅
Øi24	尔耳以
Øi33	意
Øi22	义二


[u]
pu55	铺(～设)褒敨
pu35	补保宝
pu33	布怖报
pu22	部簿步埠菢
phu21	脯
phu35	谱捕甫脯
phu24	普抱
phu33	铺(店～)
mu55	巫
mu21	墓募无务毛戊
mu24	武舞母
mu22	雾帽
fu55	呼肤敷孵麸
fu21	傅抚符扶腐(豆～)附
fu35	苦虎府斧釜辅
fu33	库裤戽付赋赴富副
fu22	父妇
tu55	都(～城)都(～是)刀
tu35	赌祷岛倒
tu33	妬到(～啲[ti55]：结束  原文有音无字)到
tu22	杜度道盗导
thu55	滔涛秃
thu21	徒途图桃陶
thu35	土讨
thu24	肚(鱼～)肚(腹～)
thu33	吐(～痰)吐(呕～)兔套
nu21	奴
nu35	努
nu24	脑
nu22	怒
lu55	捞囗(灰的意思)
lu21	炉庐劳牢涝
lu24	鲁卤老
lu22	路露
ɬu55	苏
ɬu35	嫂
ɬu33	素扫(～地)扫(～杆)
ʧu55	租糟
ʧu35	祖组早枣
ʧu33	做灶
ʧu22	造
ʧhu55	粗操(～作)
ʧhu21	曹嘈(闹  原文有音无字)
ʧhu35	草
ʧhu33	醋躁糙臊
ʃu35	数(动词)
ʃu33	数(名词)
ku55	姑孤牯高糕
ku35	古估鼓稿
ku33	故固雇顾告
khu55	箍枯
ŋu21	傲
hu21	豪毫浩号酷
hu35	好(～坏)好(喜～)
hu33	耗
Øu55	污
Øu21	湖壶胡户芋
Øu33	恶(可～)懊(懊悔)
Øu22	护


[y]
ny35	女
ly24	吕旅
ly22	虑
ɬy55	需虽
ʧy55	猪诸株朱
ʧy21	箸 
ʧy35	煮主
ʧy33	著聚注蛀
ʧy22	住
ʧhy55	蛆
ʧhy21	徐除储厨瞿
ʧhy35	取拄柱
ʧhy24	苎杵雏
ʧhy33	处(相～)处(～所)趣
ʃy55	书输
ʃy21	薯戍殊竖戌
ʃy35	暑鼠
ʃy33	絮绪恕署注
ʃy22	序树
ky55	居车(车马～)
ky21	俱
ky35	举矩
ky33	据锯句
ky22	巨距具
khy55	趋枢拘区 
khy21	渠
khy33	去(来去)
hy55	墟虚
hy35	许
Øy55	于于
Øy21	如鱼御余誉预儒愚娱遇愉愈喻
Øy24	语与乳寓雨宇
Øy22	欲


[a]
pa55	疤爸
pa35	把(～守)
pa33	霸
pa22	罢
pha21	爬杷 
pha33	怕
pha22	耙
ma55	妈
ma21	麻码 
ma24	马
fa55	花
fa33	化
ta35	打
na33	囗(交配的意思，狗～nɔŋ33)
ɬa35	洒
ɬa24	洒
ʧa55	楂渣抓
ʧa33	诈榨
ʧha55	叉杈差(～别)岔掐
ʧha21	茶查
ʃa55	沙
ʃa35	耍
ka55	家加
ka35	假贾(姓)
ka33	嫁价
kha33	假(放～)架
ŋa21	牙芽
ŋa24	雅瓦
ha55	虾 
ha21	霞夏(姓)厦(～门)下(～降)夏(春～)
ha22	厦(偏～)下(底～)
Øa35	哑
Øa33	亚


[ia]
Øia55	鸦丫
Øia24	雅



[ɔ]
pɔ55	波玻
pɔ33	簸
pɔ22	薄(～荷)
phɔ55	坡
phɔ21	婆菩
phɔ33	破剖
mɔ55	模摸
mɔ21	磨(～刀)磨(石～)模摹
fɔ55	科
fɔ35	火
fɔ33	课货
tɔ55	多
tɔ21	惰
tɔ35	朵
thɔ55	拖
thɔ21	舵
thɔ35	妥唾
nɔ55	囗(肥～～：肥嘟嘟)
nɔ21	糯挪(～～nɐn35nɐn35：磨磨蹭蹭  原文有音无字)
lɔ21	罗箩脶
lɔ24	攞(取  原文有音无字)
ɬɔ55	蓑梭唆 
ɬɔ35	锁
ɬɔ24	所
ʧɔ35	左阻
ʧɔ22	座助
ʧhɔ55	搓初
ʧhɔ21	锄
ʧhɔ35	坐座楚础
ʧhɔ33	锉措错(～误)错(～杂)
ʃɔ55	梳疏
kɔ55	歌哥锅
kɔ35	果馃
kɔ33	个过
khɔ35	颗
ŋɔ21	鹅饿卧
ŋɔ35	我
hɔ21	荷(薄～)何贺
hɔ35	可
Øɔ55	囗(～蚪：蝌蚪)


[uɔ]
Øuɔ55	窝蜗
Øuɔ21	和(～气)禾祸


[ɛ]
pɛ21	囗(nɐm55～～：嘟囔)
ɬɛ35	写
ɬɛ33	泻
ʧɛ55	遮
ʧɛ35	姐者
ʧɛ33	借蔗
ʧɛ22	谢
ʧhɛ55	车(马车)
ʧhɛ21	斜
ʧhɛ35	且笡(斜)扯
ʃɛ55	赊畲
ʃɛ21	蛇
ʃɛ35	舍
ʃɛ24	舍社
ʃɛ22	射射
khɛ21	茄骑
khɛ33	楔
mɛ21	囗(乳房)
mɛ33	孭(背的意思  原文有音无字)


[iɛ]
Øiɛ21	爷夜
Øiɛ35	惹
Øiɛ24	野


[œ]
hœ55	靴


[iu]
piu55	标彪
piu35	表(老～)表(手～)
phiu55	飘
phiu21	瓢
phiu33	漂(打水～)票
miu21	苗庙
miu24	秒
miu22	谬
tiu55	刁雕
tiu33	钓
tiu22	掉调
thiu55	挑
thiu21	条
thiu33	跳跳
niu22	尿
liu21	燎疗辽廖料廖(姓)
liu24	了(～结)料
ɬiu55	消箫
ɬiu35	浇
ɬiu24	小
ɬiu33	笑
ʧiu55	焦醮朝(今～)招
ʧiu33	沼 
ʧiu22	赵召(号～)照
ʧhiu55	锹樵超
ʧhiu21	朝(～代)
ʧhiu33	俏(～皮)
ʃiu55	烧囗(～～nap3nap3：指鸡骂狗)
ʃiu21	韶
ʃiu24	少(多～)
ʃiu33	少(～年)
ʃiu22	绍
kiu55	骄
kiu24	缴
kiu33	矫叫
kiu22	轿
khiu21	桥
khiu33	窍
hiu55	嚣
hiu24	晓
Øiu55	妖腰要(～求)
Øiu21	窑姚耀鹞 
Øiu35	绕(围～)绕(～线)
Øiu24	舀尧
Øiu33	要(重～)


[ai]
pai35	摆
pai33	拜
pai22	稗败
phai21	排牌
phai33	派
mai21	埋卖
mai35	买
mai22	迈
fai33	块快筷
tai55	呆
tai21	大(～夫)
tai33	戴带
tai22	大
thai33	态贷太
nai24	奶
lai55	拉
lai33	癞
lai22	赖
ʧai55	斋
ʧai33	债
ʧai22	寨
ʧhai55	猜差(出～)
ʧhai21	柴
ʃai55	筛
ʃai33	晒
