ID	CLASSIFI	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	一、諺語、俗語等/諺語	獨食獨生瘡，打死冇人幫。	独食独生疮，打死冇人帮。	tʊk2 ʃek2 tʊk2 ʃaŋ55 tʃʰɔŋ55，ta35 ɬi35 mu24 jɐn21 pɔŋ55。	tʊk2 ʃek2 tʊk2 ʃaŋ55 tʃʰɔŋ55，ta35 ɬi35 mu24 jɐn21 pɔŋ55。	duk6 sik6 duk6 saang1 cong1，daa2 sli2 mu5 jan4 bong1。	2015年語保工程(諺語、童謠等)	青年女性（當地情況）	唐七元調查點，原視頻未作標註，此處爲筆者標註
2	一、諺語、俗語等/歇後語	番鬼佬捉黃䘆，就見就冇見。	番鬼佬捉黄䘆，就见就冇见。	fan55 kʷɐi35 lu35 tʃɔk3 wɔŋ21 hyn35，tʃɐu22 kin33 tʃɐu22 mu24 kin33。	fan55 kʷɐi35 lu35 tʃɔk3 wɔŋ21 hyn35，tʃɐu22 kin33 tʃɐu22 mu24 kin33。	faan1 gwai2 lu2 zok3 wong4 hyun2，zau6 gin3 zau6 mu5 gin3。	2015年語保工程(諺語、童謠等)	老年男性（個人經歷）	林亦調查點，原視頻未作標註，此處爲筆者標註
3	二、童謠	二叔公，吹火筒。買碌蔗，又生蟲。買隻餅，又穿窿，買隻餈粑𪐀喉嚨。	二叔公，吹火筒。买碌蔗，又生虫。买只饼，又穿窿，买只糍粑𪐀喉咙。	ji22 ʃʊk5 kʊŋ55，tʃʰui55 fɔ35 tʰʊŋ21。mai24 lʊk5 tʃɛ33，jɐu22 ʃaŋ55 tʃʰʊŋ21。mai24 tʃek3 pɛŋ35，jɐu22 tʃʰyn55 lʊŋ55，mai24 tʃek3 tʃʰi21 pa55 nɛ55 hɐu21 lʊŋ21。	ji22 ʃʊk5 kʊŋ55，tʃʰui55 fɔ35 tʰʊŋ21。mai24 lʊk5 tʃɛ33，jɐu22 ʃaŋ55 tʃʰʊŋ21。mai24 tʃek3 pɛŋ35，jɐu22 tʃʰyn55 lʊŋ55，mai24 tʃek3 tʃʰi21 pa55 nɛ55 hɐu21 lʊŋ21。	ji6 suk1 gung1，cui1 fo2 tung4。maai5 luk1 ze3，jau6 saang1 cung4。maai5 zik3 beng2，jau6 cyun1 lung1，maai5 zik3 ci4 baa1 ne1 hau4 lung4。	2015年語保工程(諺語、童謠等)	老年男性（童謠，唐七元調查點；個人經歷，林亦調查點）	唐七元、林亦調查點，原視頻未作標註，此處爲筆者標註，其中唐七元調查點的「餈」接近於[tsʰɿ21]
4	二、童謠	拍大髀，唱山歌，人人話我冇老婆。搦起心肝娶一個。有錢攞個嬌嬌女，冇錢攞個頭皮婆。頭皮婆，食得多，屙尿衝大海，屙屁打陀鑼。	拍大髀，唱山歌，人人话我冇老婆。搦起心肝娶一个。有钱攞个娇娇女，冇钱攞个头皮婆。头皮婆，食得多，屙尿冲大海，屙屁打陀锣。	pʰak3 tai22 pi35，tʃʰœŋ33 ʃan55 kɔ55，jɐn21 jɐn21 wa22 ŋɔ24 mu24 lu24 pʰɔ21。nek5 hi35 ɬɐm55 kɔn55 tʃʰy35 jɐt5 kɔ33。jɐu24 tʃʰin21 lɔ35 kɔ33 kiu55 kiu55 ny35，mu24 tʃʰin21 lɔ35 kɔ33 tʰɐu21 pʰi21 pʰɔ21。tʰɐu21 pʰi21 pʰɔ21，ʃek2 tɐk5 tɔ55，ɔ55 niu22 tʃʰʊŋ55 tai22 hɔi35，ɔ55 pʰi33 ta35 tʰɔ21 lɔ21。	pʰak3 tai22 pi35，tʃʰœŋ33 ʃan55 kɔ55，jɐn21 jɐn21 wa22 ŋɔ24 mu24 lu24 pʰɔ21。nek5 hi35 ɬɐm55 kɔn55 tʃʰy35 jɐt5 kɔ33。jɐu24 tʃʰin21 lɔ35 kɔ33 kiu55 kiu55 ny35，mu24 tʃʰin21 lɔ35 kɔ33 tʰɐu21 pʰi21 pʰɔ21。tʰɐu21 pʰi21 pʰɔ21，ʃek2 tɐk5 tɔ55，ɔ55 niu22 tʃʰʊŋ55 tai22 hɔi35，ɔ55 pʰi33 ta35 tʰɔ21 lɔ21。	paak3 daai6 bi2，coeng3 saan1 go1，jan4 jan4 waa6 ngo5 mu5 lu5 po4。nik1 hi2 slam1 gon1 cyu2 jat1 go3。jau5 cin4 lo2 go3 giu1 giu1 nyu2，mu5 cin4 lo2 go3 tau4 pi4 po4。tau4 pi4 po4，sik6 dak1 do1，o1 niu6 cung1 daai6 hoi2，o1 pi3 daa2 to4 lo4。	2015年語保工程(諺語、童謠等)	老年男性（童謠）	唐七元調查點，原視頻未作標註，此處爲筆者標註，「頭皮」當爲「痘皮」之誤
5	二、童謠	阿妹妹，同狗睡。狗攋尿，賴阿妹。阿妹哭，狗煲粥。阿妹病，狗算命。阿妹死，狗燒紙。	阿妹妹，同狗睡。狗𪮶尿，赖阿妹。阿妹哭，狗煲粥。阿妹病，狗算命。阿妹死，狗烧纸。	a33 mui22 mui22，tʰʊŋ21 kɐu35 ʃui22。kɐu35 lai24 niu22，lai22 a33 mui22。a33 mui22 hʊk5，kɐu35 pu55 tʃʊk5。a33 mui22 pɛŋ22，kɐu35 ɬyn33 mɛŋ22。a33 mui22 ɬi35，kɐu35 ʃiu55 tʃi35。	a33 mui22 mui22，tʰʊŋ21 kɐu35 ʃui22。kɐu35 lai24 niu22，lai22 a33 mui22。a33 mui22 hʊk5，kɐu35 pu55 tʃʊk5。a33 mui22 pɛŋ22，kɐu35 ɬyn33 mɛŋ22。a33 mui22 ɬi35，kɐu35 ʃiu55 tʃi35。	aa3 mui6 mui6，tung4 gau2 sui6。gau2 laai5 niu6，laai6 aa3 mui6。aa3 mui6 huk1，gau2 bu1 zuk1。aa3 mui6 beng6，gau2 slyun3 meng6。aa3 mui6 sli2，gau2 siu1 zi2。	2015年語保工程(諺語、童謠等)	老年男性（童謠，唐七元調查點；個人經歷，林亦調查點）	唐七元、林亦調查點，原視頻未作標註，此處爲筆者標註
6	二、童謠	唓咧婆，賣菠蘿，賣畀人哋做老婆。	𪠳咧婆，卖菠萝，卖畀人哋做老婆。	tʃʰɛ55 lɛ55 pʰɔ21，mai22 pɔ55 lɔ21，mai22 pi35 jɐn21 ti22 tʃu33 lu24 pʰɔ21。	tʃʰɛ55 lɛ55 pʰɔ21，mai22 pɔ55 lɔ21，mai22 pi35 jɐn21 ti22 tʃu33 lu24 pʰɔ21。	ce1 le1 po4，maai6 bo1 lo4，maai6 bi2 jan4 di6 zu3 lu5 po4。	2015年語保工程(諺語、童謠等)	老年男性（童謠）	唐七元調查點，原視頻未作標註，此處爲筆者標註
7	二、童謠	𧽼𧽼轉，菊花園，阿嫲孭我睇龍船。龍船冇好睇，返來睇雞崽。雞崽大，搦去賣。賣得三百六十文。金腰帶，銀腰帶，請你公公婆婆出來拜。拜得多，畀啲我。拜得少，留畀你兩公婆。	𧽼𧽼转，菊花园，阿嫲孭我睇龙船。龙船冇好睇，返来睇鸡崽。鸡崽大，搦去卖。卖得三百六十文。金腰带，银腰带，请你公公婆婆出来拜。拜得多，畀啲我。拜得少，留畀你两公婆。	tʰɐm21 tʰɐm21 tʃyn33，kʊk5 fa55 jyn21，a33 ma35 mɛ55 ŋɔ24 tʰɐi35 lʊŋ21 ʃyn21。lʊŋ21 ʃyn21 mu24 hu35 tʰɐi35，fan55 lɐi21 tʰɐi35 kɐi55 tʃɐi35。kɐi55 tʃɐi35 tai22，nek5 hy33 mai22。mai22 tɐk5 ɬam55 pak3 lʊk2 ʃɐp2 mɐn21。kɐm55 jiu55 tai33，ŋɐn21 jiu55 tai33，tʃʰeŋ35 ni24 kʊŋ55 kʊŋ55 pʰɔ21 pʰɔ21 tʃʰyt5 lɐi21 pai33。pai33 tɐk5 tɔ55，pi35 ti55 ŋɔ24。pai33 tɐk5 ʃiu35，lɐu21 pi35 ni24 lœŋ24 kʊŋ55 pʰɔ21。	tʰɐm21 tʰɐm21 tʃyn33，kʊk5 fa55 jyn21，a33 ma35 mɛ55 ŋɔ24 tʰɐi35 lʊŋ21 ʃyn21。lʊŋ21 ʃyn21 mu24 hu35 tʰɐi35，fan55 lɐi21 tʰɐi35 kɐi55 tʃɐi35。kɐi55 tʃɐi35 tai22，nek5 hy33 mai22。mai22 tɐk5 ɬam55 pak3 lʊk2 ʃɐp2 mɐn21。kɐm55 jiu55 tai33，ŋɐn21 jiu55 tai33，tʃʰeŋ35 ni24 kʊŋ55 kʊŋ55 pʰɔ21 pʰɔ21 tʃʰyt5 lɐi21 pai33。pai33 tɐk5 tɔ55，pi35 ti55 ŋɔ24。pai33 tɐk5 ʃiu35，lɐu21 pi35 ni24 lœŋ24 kʊŋ55 pʰɔ21。	tam4 tam4 zyun3，guk1 faa1 jyun4，aa3 maa2 me1 ngo5 tai2 lung4 syun4。lung4 syun4 mu5 hu2 tai2，faan1 lai4 tai2 gai1 zai2。gai1 zai2 daai6，nik1 hyu3 maai6。maai6 dak1 slaam1 baak3 luk6 sap6 man4。gam1 jiu1 daai3，ngan4 jiu1 daai3，cing2 ni5 gung1 gung1 po4 po4 cyut1 lai4 baai3。baai3 dak1 do1，bi2 di1 ngo5。baai3 dak1 siu2，lau4 bi2 ni5 loeng5 gung1 po4。	2015年語保工程(諺語、童謠等)	老年男性（童謠）	唐七元調查點，原視頻未作標註，此處爲筆者標註
8	二、童謠	點蟲蟲，蟲蟲飛，飛到隔籬阿婆啲。	点虫虫，虫虫飞，飞到隔篱阿婆啲。	tim35 tʃʰʊŋ21 tʃʰʊŋ35，tʃʰʊŋ21 tʃʰʊŋ35 fi55，fi55 tu33 kak3 li21 a33 pʰɔ21 ti55。	tim35 tʃʰʊŋ21 tʃʰʊŋ35，tʃʰʊŋ21 tʃʰʊŋ35 fi55，fi55 tu33 kak3 li21 a33 pʰɔ21 ti55。	dim2 cung4 cung2，cung4 cung2 fi1，fi1 du3 gaak3 li4 aa3 po4 di1。	2015年語保工程(諺語、童謠等)	老年男性（童謠）	唐七元調查點，原視頻未作標註，此處爲筆者標註
9	二、童謠	點腳乒乓，牛踩過牛坑。牛坑冇打鼓，白馬冇行橋。車鈴車鈴矴，車着阿嫲第一名。	点脚乒乓，牛踩过牛坑。牛坑冇打鼓，白马冇行桥。车铃车铃矴，车着阿嫲第一名。	tim35 kœk3 peŋ55 paŋ55，ŋɐu21 tʃʰai35 kɔ33 ŋɐu21 haŋ55。ŋɐu21 haŋ55 mu24 ta35 ku35，pak2 ma24 mu24 haŋ21 kʰiu21。tʃʰɛ55 leŋ55 tʃʰɛ55 leŋ21 teŋ33，tʃʰɛ55 tʃœk2 a33 ma35 tɐi22 jɐt5 meŋ21。	tim35 kœk3 peŋ55 paŋ55，ŋɐu21 tʃʰai35 kɔ33 ŋɐu21 haŋ55。ŋɐu21 haŋ55 mu24 ta35 ku35，pak2 ma24 mu24 haŋ21 kʰiu21。tʃʰɛ55 leŋ55 tʃʰɛ55 leŋ21 teŋ33，tʃʰɛ55 tʃœk2 a33 ma35 tɐi22 jɐt5 meŋ21。	dim2 goek3 bing1 baang1，ngau4 caai2 go3 ngau4 haang1。ngau4 haang1 mu5 daa2 gu2，baak6 maa5 mu5 haang4 kiu4。ce1 ling1 ce1 ling4 ding3，ce1 zoek6 aa3 maa2 dai6 jat1 ming4。	2015年語保工程(諺語、童謠等)	老年男性（童謠，唐七元調查點；個人經歷，林亦調查點）	唐七元、林亦調查點，原視頻未作標註，此處爲筆者標註
10	二、童謠	肥婆肥冬瓜，生崽生論打。一打十二隻，隻隻有尾巴。	肥婆肥冬瓜，生崽生论打。一打十二只，只只有尾巴。	fi21 pʰɔ21 fi21 tʊŋ55 kʷa55，ʃaŋ55 tʃɐi35 ʃaŋ55 lɐn22 ta55。jɐt5 ta55 ʃɐp2 ji22 tʃek3，tʃek3 tʃek3 jɐu24 mi24 pa55。	fi21 pʰɔ21 fi21 tʊŋ55 kʷa55，ʃaŋ55 tʃɐi35 ʃaŋ55 lɐn22 ta55。jɐt5 ta55 ʃɐp2 ji22 tʃek3，tʃek3 tʃek3 jɐu24 mi24 pa55。	fi4 po4 fi4 dung1 gwaa1，saang1 zai2 saang1 lan6 daa1。jat1 daa1 sap6 ji6 zik3，zik3 zik3 jau5 mi5 baa1。	2015年語保工程(諺語、童謠等)	老年男性（童謠，唐七元調查點；個人經歷，林亦調查點）。論打：成打。生論打：成打生。	唐七元、林亦調查點，原視頻未作標註，此處爲筆者標註
