ID	CLASSIFI	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1		木	木	muk2	mʊk2	muk6	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的呆板，例：佢木得要死	
2		瓜	瓜	kwa55	kʷa55	gwaa1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的傻氣、土氣，例：佢瓜哦	
3		蛇	蛇	sɛ21	ʃɛ21	se4	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，蛇平素不愛動，以此形容人懶，例：佢蛇多	
4		狼	狼	lɔŋ21	lɔŋ21	long4	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人兇狠似狼，例：佢好狼嘅	
5		薑	姜	kœŋ55	kœŋ55	goeng1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，薑味辣，形容不給面子，例：佢薑多	
6		賊	贼	tsʰɐk2	tʃʰɐk2	cak6	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的陰險	
7		豬	猪	tsy55	tʃy55	zyu1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人的愚鈍	
8		簕竇	簕窦	lɐk2 tɐu33	lɐk2 tɐu33	lak6 dau3	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，荊棘，形容人不易打交道	原文有音無字
9		水	水	sui35	ʃui35	sui2	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人無能、沒本事	
10		雞	鸡	kɐi55	kɐi55	gai1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人好色	
11		鷄	鸡	kɐi55	kɐi55	gai1	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人好色	
12		豉油	豉油	si22 jɐu21	ʃi22 jɐu21	si6 jau4	1998年陳謨志總纂《南寧市誌·文化卷》P634	名詞作形容詞，形容人愛打扮、做作、好出風頭	原文「豉」字作[si21]，受後字調類化爲陽平
13		食喳喳	食喳喳	sik2 tsa21 tsa21	ʃek2 tʃa21 tʃa21	sik6 zaa4 zaa4	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，拼命地吃，吃的場面很大。	原文有音無字
14		咬㗱㗱	咬㗱㗱	ŋɛu24 tsɐp2 tsɐp2	ŋɛu24 tʃɐp2 tʃɐp2	ngeu5 zap6 zap6	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，咂著嘴啃。	原文有音無字
15		咬硞硞	咬硞硞	ŋɛu24 kʰuk5 kʰuk5	ŋɛu24 kʰʊk5 kʰʊk5	ngeu5 kuk1 kuk1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，咬硬東西貌。	原文有音無字
16		拍卟卟	拍卟卟	pʰak3 pɐp2 pɐp2	pʰak3 pɐp2 pɐp2	paak3 bap6 bap6	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，「卟卟」地拍。	原文有音無字
17		打噌噌	打噌噌	ta35 tsɐŋ21 tsɐŋ21	ta35 tʃɐŋ21 tʃɐŋ21	daa2 zang4 zang4	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，紛紛亂打之貌。	原文有音無字
18		吆喳喳	吆喳喳	Ǿɛu55 ja55 ja55	ɛu55 ja55 ja55	eu1 jaa1 jaa1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，亂嚷嚷。	原文有音無字
19		吆呱呱	吆呱呱	Ǿɛu55 kʷɛ21 kʷɛ21	ɛu55 kʷɛ21 kʷɛ21	eu1 gwe4 gwe4	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，叫喳喳。	原文有音無字
20		吆喳喳	吆喳喳	Ǿɛu55 tsa21 tsa21	ɛu55 tʃa21 tʃa21	eu1 zaa4 zaa4	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，紛亂地叫。	原文有音無字
21		吆喲喲	吆哟哟	Ǿɛu55 jɔ55 jɔ55	ɛu55 jɔ55 jɔ55	eu1 jo1 jo1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，「喲喲」地叫。	原文有音無字
22		吆呱呱	吆呱呱	Ǿɛu55 kʷa21 kʷa21	ɛu55 kʷa21 kʷa21	eu1 gwaa4 gwaa4	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，亂叫喊。	原文有音無字
23		吆刮刮	吆刮刮	Ǿɛu55 kʷɛt5 kʷɛt5	ɛu55 kʷɛt5 kʷɛt5	eu1 gwet1 gwet1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，尖叫。	原文有音無字
24		笑喳喳	笑喳喳	ɬiu33 tsɛ21 tsɛ21	ɬiu33 tʃɛ21 tʃɛ21	sliu3 ze4 ze4	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，笑嘻嘻。	原文有音無字
25		笑噱噱	笑噱噱	ɬiu33 kʰɔk5 kʰɔk5	ɬiu33 kʰɔk5 kʰɔk5	sliu3 kok1 kok1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，笑哈哈。	原文有音無字
26		笑吟吟	笑吟吟	ɬiu33 jɐm55 jɐm55	ɬiu33 jɐm55 jɐm55	sliu3 jam1 jam1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，笑咪咪。	原文有音無字，應是「吟」的變調
27		哭呀呀	哭呀呀	huk5 ŋa55 ŋa55	hʊk5 ŋa55 ŋa55	huk1 ngaa1 ngaa1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，大聲哭。	原文有音無字
28		哭霅霅	哭霅霅	huk5 ɬɐp2 ɬɐp2	hʊk5 ɬɐp2 ɬɐp2	huk1 slap6 slap6	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，小聲哭。	原文有音無字
29		哭呀呀	哭呀呀	huk5 ŋɛ55 ŋɛ55	hʊk5 ŋɛ55 ŋɛ55	huk1 nge1 nge1	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，小孩子哭。	原文有音無字
30		坐跋躠	坐跋躠	tsʰɔ24 pʰat2 ɬat2	tʃʰɔ24 pʰat2 ɬat2	co5 paat6 slaat6	1998年陳謨志總纂《南寧市誌·文化卷》P634	動詞後附加成分，象一灘泥似地坐着。	原文有音無字
