繁體	簡體	南寧白話	又音	廣州話
〇	〇	ling4		ling4
㑊	㑊	jik6		jik6
㓟	㓟	pai1「削，又作𠜱字」		pai1,pei1
㓤	㓤	gat1「刺」		gat1
㔆	㔆	caam5「刺，扎」		caam5
㕭	㕭	jaau1「咿㕭，不認真」		jaau1
㗎	㗎	gaa3「語氣詞，表示強調」,gaa4「語氣詞，嘅ge3啊aa4的合音」		gaa3,gaa4
㗱	㗱	zep1「吸奶聲」,zep6「咀嚼聲」	(又)zaap1,(又)zaap6	zaap6,zep6
㗲	𠵾	waak1「能說會道，又作𡄴字」		waak1
㗾	㗾	hoe4「～㗾hoe2聲，熱鬧貌」,hoe2「㗾hoe4～聲」,hoe1「起鬨」		hoe1,hoe4
㘄	㘄	lang1「象聲詞」	(語)lang6「攔截」	lang1
㙓	㙓	kwai4		kwai4
㚻	㚻	gai1		gai1
㜇	㜇	ai3「心情煩悶，又作翳字」	(又)ngai3	ai3
㜺	㜺	zaan2「～鬼，有趣」		zaan2
㞎	㞎	be2「㞎be4～，屎」,be4「～㞎be2」	(又)baa2,(又)baa4	baa2
㞓	㞓	hai1「女陰，俗作閪字」		hai1
㞗	㞗	kau4		kau4
㞘	㞘	duk1「容器底部，又作䐁/𡰪字」		duk1
㞢	㞢	zi1「古通作之」,jau5「古通作有」		zi1,jau5
㟤	㟤	luk6		luk6
㟼	㟼	ngu4		ngou4
㡿	㡿	cik1		cik1
㤿	㤿	jim1「㤿尖，愛挑剔」		jim1
㥮	㤘	zau3		zau3
㦒	㦒	lai2「冤～，冤枉」		lai2
㧗	㧗	zi2	(又)ci2	zi2,ci2
㧤	㧤	cung3「捅」		cung3
㧬	㧬	gung2「抱，舉」,ung2「推，又作擁字」		gung2,ung2
㧸	㧸	paang1		paang1
㧾	㧾	fat1「舀」		fat1
㨃	㨃	dui2「捅」		deoi2
㨆	㨆	lam6「堆砌」		lam6
㨘	㨘	saang2「拭擦；訓斥」		saang2
㨢	㨢	nang3「連帶，又作褦字」		nang3
㨤	㧟	kwaai5「舀，又作擓字」		kwaai5
㨴	㨴	kin2「掀，揭」		kin2
㩄	㩄	slaai1「浪費，俗字嘥」		saai1
㩋	𪮋	sluk1「擊」,sliu1「擊；把」		sok1,siu1
㩒	㩒	gam6		gam6
㩙	㩙	slaak1「～開邊，剖成兩半」		nim2,saak1
㩧	㩧	bok1「敲」		bok1
㩺	㩺	pi1「器物邊緣破損，又作𤿎字」		pei1
