序号	聲韻	聲調	字元	字數
1	a 	陰平55	鴉	1
2	a 	陰上35	啞	1
3	a 	陰去33	亞	1
4	ɔ 	陰平55	屙, 阿, 痾	3
5	ɔ 	陽平21	哦	1
6	u 	陰去33	奧, 懊, 澳, 襖	4
7	y 	陰平55	於, 淤, 迂, 于	4
8	y 	陽平21	盂, 榆, 娛, 餘, 余, 魚, 如, 虞, 愉, 愚, 俞	11
9	y 	陽上24	乳, 與, 雨, 語	4
10	y 	陽去22	預, 玉, 喻, 裕, 譽, 遇, 寓	7
11	ai 	陰平55	埃	1
12	ɐi 	陰上35	矮	1
13	ɔi 	陰平55	哀	1
14	ɔi 	陰上35	藹	1
15	ɔi 	陰去33	愛, 隘	2
16	au 	陰去33	拗, 坳	2
17	ɐu 	陰平55	區, 歐, 鷗	3
18	ɐu 	陰上35	嘔	1
19	ɐu 	陰去33	漚	1
20	ɛu 	陰去33	拗, 坳	2
21	ɐm 	陰平55	庵, 鵪	2
22	ɐm 	陰上35	揞	1
23	ɐm 	陰去33	暗	1
24	an 	陰去33	晏	1
25	ɐn 	陰平55	恩	1
26	ɔn 	陰平55	安, 鞍	2
27	ɔn 	陰去33	按, 案	2
28	yn 	陰平55	冤, 淵	2
29	yn 	陽平21	完, 丸, 沿, 袁, 源, 原, 轅, 園, 沅, 援, 元, 玄, 緣, 圓, 鉛, 員	16
30	yn 	陰上35	院	1
31	yn 	陽上24	遠, 軟	2
32	yn 	陰去33	怨	1
33	yn 	陽去22	孕, 閏, 願, 縣, 潤	5
34	aŋ 	陰平55	罌	1
35	ɔŋ 	陰平55	骯	1
36	uŋ 	陰去33	甕, 蕹	2
37	ap 	中入33	鴨, 押	2
38	at	中入33	壓	1
39	yt 	中入33	乙	1
40	yt 	陽入22	越, 悅, 曰, 月, 閱	5
41	ak 	中入33	軛	1
42	ɐk 	陰入55	握	1
43	ɔk 	中入33	惡	1
44	uk 	陰入55	齷, 屋	2
45	ŋ̍ 	陽平21	捂, 吳, 吾, 蜈	4
46	ŋ̍ 	陽上24	五, 伍, 午	3
47	ŋ̍ 	陽去22	悟, 互, 誤, 晤	4
48	pa 	陰平55	爸, 巴, 芭, 疤	4
49	pa 	陰上35	把	1
50	pa 	陰去33	霸, 欛, 垻, 壩	4
51	pa 	陽去22	罷	1
52	pɔ 	陰平55	菠, 波, 玻	3
53	pɔ 	陰去33	簸, 播	2
54	pɛ 	陰平55	啤	1
55	pi 	陰平55	悲, 卑, 蓖, 碑	4
56	pi 	陰上35	畀, 比, 彼	3
57	pi 	陰去33	臂, 痹, 泌, 祕	4
